m.ref,spec.r,group.r,date,month,year,latwgs84,longwgs84,sex,age.r
M943/92,Long-finned pilot whale,Pelagic Dolphins,12/01/1992,1,1992,57.37420654,-7.417626858,U,unknown
M1075/92,Long-finned pilot whale,Pelagic Dolphins,15/01/1992,1,1992,59.26157761,-2.892704725,U,unknown
M130/92,White-beaked dolphin,Pelagic Dolphins,19/01/1992,1,1992,56.6865654,-5.936995983,F,juvenile
M2943/92,Long-finned pilot whale,Pelagic Dolphins,25/01/1992,1,1992,59.14161301,-3.080087185,U,unknown
M282/92,Short-beaked common dolphin,Common Dolphin,07/02/1992,2,1992,57.68140793,-4.277445793,F,adult
M1900/92,Harbour porpoise,Harbour porpoise,27/02/1992,2,1992,56.36582565,-6.148480415,M,juvenile
M435/92,Harbour porpoise,Harbour porpoise,28/02/1992,2,1992,56.04719162,-3.555597544,U,unknown
M545/92,Risso's dolphin,Pelagic Dolphins,16/03/1992,3,1992,57.24013138,-5.65095377,U,unknown
M853/92,Harbour porpoise,Harbour porpoise,19/03/1992,3,1992,56.42583466,-5.484859467,U,unknown
M639/92,Short-beaked common dolphin,Common Dolphin,27/03/1992,3,1992,57.12965393,-2.097428322,F,adult
M674/92,Harbour porpoise,Harbour porpoise,01/04/1992,4,1992,57.15571594,-2.077649832,F,adult
M696/92,Striped dolphin,Pelagic Dolphins,03/04/1992,4,1992,57.66471863,-3.609146833,M,adult
M702/92,Minke whale,Baleen Whales,04/04/1992,4,1992,55.95006561,-3.053654432,M,juvenile
M734/92,Harbour porpoise,Harbour porpoise,08/04/1992,4,1992,56.74354935,-2.433217525,U,unknown
M832/92,Risso's dolphin,Pelagic Dolphins,19/04/1992,4,1992,58.59363937,-3.372846842,F,adult
M854/92,Atlantic white-sided dolphin,Pelagic Dolphins,24/04/1992,4,1992,60.38070297,-1.140250087,F,juvenile
M921/92,Long-finned pilot whale,Pelagic Dolphins,27/04/1992,4,1992,57.04787445,-7.450797558,F,adult
M985/92,Long-finned pilot whale,Pelagic Dolphins,11/05/1992,5,1992,56.94298553,-7.563875198,F,adult
M1117/92,Long-finned pilot whale,Pelagic Dolphins,12/05/1992,5,1992,56.20427704,-5.561499596,U,unknown
M1051/92,Bottlenose dolphin,Pelagic Dolphins,17/05/1992,5,1992,57.66220474,-3.664337873,F,adult
M1054/92,Harbour porpoise,Harbour porpoise,17/05/1992,5,1992,57.82389069,-3.860388279,U,unknown
M1111/92,Harbour porpoise,Harbour porpoise,25/05/1992,5,1992,57.66175079,-3.558721542,F,adult
M1115/92,Harbour porpoise,Harbour porpoise,25/05/1992,5,1992,57.74755096,-3.918628693,F,juvenile
M1358/92,Sperm whale,Deep Divers,29/05/1992,5,1992,57.04253006,-7.387264252,M,adult
M1240/92,White-beaked dolphin,Pelagic Dolphins,01/06/1992,6,1992,58.80247116,-3.240889549,U,unknown
M1242/92,Atlantic white-sided dolphin,Pelagic Dolphins,03/06/1992,6,1992,56.53337479,-2.629163265,M,adult
M1244/92,Harbour porpoise,Harbour porpoise,04/06/1992,6,1992,57.66997528,-2.348642826,U,unknown
M1712/92,Harbour porpoise,Harbour porpoise,04/06/1992,6,1992,57.66856766,-3.51541543,F,neonate
M1229/92,Atlantic white-sided dolphin,Pelagic Dolphins,06/06/1992,6,1992,56.33754349,-2.782842636,F,adult
M1243/92,Harbour porpoise,Harbour porpoise,07/06/1992,6,1992,57.7021904,-3.231556892,U,unknown
M1293/92,Harbour porpoise,Harbour porpoise,07/06/1992,6,1992,58.27242279,-6.280631542,U,unknown
M1224/92,Harbour porpoise,Harbour porpoise,08/06/1992,6,1992,57.68175125,-3.99063158,F,juvenile
M1232/92,Harbour porpoise,Harbour porpoise,08/06/1992,6,1992,56.36973953,-2.806174755,F,adult
M1256/92,Harbour porpoise,Harbour porpoise,08/06/1992,6,1992,55.55281448,-4.660151958,F,neonate
M1225/92,Harbour porpoise,Harbour porpoise,09/06/1992,6,1992,55.98010254,-3.29647851,F,neonate
M1246/92,Harbour porpoise,Harbour porpoise,09/06/1992,6,1992,57.76498413,-3.894335508,F,neonate
M1417/92,Bottlenose dolphin,Pelagic Dolphins,12/06/1992,6,1992,58.07094193,-5.453851223,U,unknown
M1348/92,Harbour porpoise,Harbour porpoise,20/06/1992,6,1992,57.69777679,-2.902562618,M,juvenile
M1349/92,Harbour porpoise,Harbour porpoise,21/06/1992,6,1992,57.70138168,-2.900973082,M,neonate
M1362/92,Harbour porpoise,Harbour porpoise,22/06/1992,6,1992,58.96633148,-3.291991472,M,adult
M1388/92,Harbour porpoise,Harbour porpoise,24/06/1992,6,1992,56.78872681,-2.350255489,U,unknown
M1405/92,Harbour porpoise,Harbour porpoise,25/06/1992,6,1992,57.69727707,-2.845503092,F,juvenile
M2940/92,Risso's dolphin,Pelagic Dolphins,26/06/1992,6,1992,58.77964783,-3.278131247,U,unknown
M1431/92,White-beaked dolphin,Pelagic Dolphins,28/06/1992,6,1992,57.18536758,-2.071109772,M,neonate
M1956/92,Risso's dolphin,Pelagic Dolphins,04/07/1992,7,1992,57.6594696,-7.46020031,U,unknown
M1504/92,Harbour porpoise,Harbour porpoise,05/07/1992,7,1992,57.59080124,-3.886945009,F,adult
M1510/92,Harbour porpoise,Harbour porpoise,06/07/1992,7,1992,58.20825958,-6.395572186,M,adult
M1520/92,Harbour porpoise,Harbour porpoise,06/07/1992,7,1992,56.73544312,-2.438022614,U,unknown
M1521/92,Harbour porpoise,Harbour porpoise,06/07/1992,7,1992,56.7282486,-2.439570427,U,unknown
M1522/92,Harbour porpoise,Harbour porpoise,06/07/1992,7,1992,56.71565247,-2.44596076,U,unknown
M1525/92,Harbour porpoise,Harbour porpoise,06/07/1992,7,1992,56.70395279,-2.452366114,U,unknown
M1581/92,Harbour porpoise,Harbour porpoise,08/07/1992,7,1992,56.69321442,-2.439176083,U,unknown
M1559/92,Harbour porpoise,Harbour porpoise,09/07/1992,7,1992,57.71855545,-3.386562824,F,neonate
NA,Harbour porpoise,Harbour porpoise,11/07/1992,7,1992,57.67196655,-2.344979525,U,unknown
M1935/92A,Sperm whale,Deep Divers,20/07/1992,7,1992,57.52713394,-7.624396801,M,unknown
M1935/92B,Sperm whale,Deep Divers,20/07/1992,7,1992,57.52713394,-7.624396801,U,unknown
M2941/92,Minke whale,Baleen Whales,22/07/1992,7,1992,59.23465729,-2.569529057,U,unknown
M1658/92,Harbour porpoise,Harbour porpoise,24/07/1992,7,1992,60.10803223,-1.570067525,M,adult
M1708/92,Harbour porpoise,Harbour porpoise,24/07/1992,7,1992,59.89870834,-1.33148253,M,neonate
M1681/92,Sowerby's beaked whale,Deep Divers,28/07/1992,7,1992,57.48759079,-6.629146576,F,adult
M1738/92,Harbour porpoise,Harbour porpoise,05/08/1992,8,1992,57.59106827,-3.868556023,F,juvenile
M1775/92,Striped dolphin,Pelagic Dolphins,08/08/1992,8,1992,55.77688217,-6.352085114,M,adult
M1813/92,Bottlenose dolphin,Pelagic Dolphins,11/08/1992,8,1992,57.70398331,-3.48333025,F,juvenile
M1814/92,Harbour porpoise,Harbour porpoise,11/08/1992,8,1992,57.5897789,-3.953813076,F,juvenile
M1812/92,Harbour porpoise,Harbour porpoise,11/08/1992,8,1992,57.67494202,-1.968106866,M,juvenile
M2944/92,Minke whale,Baleen Whales,14/08/1992,8,1992,58.11063385,-7.129652023,U,unknown
M1880/92,Sowerby's beaked whale,Deep Divers,19/08/1992,8,1992,57.76045227,-3.897458315,F,adult
M1908/92,Striped dolphin,Pelagic Dolphins,23/08/1992,8,1992,57.5675621,-7.483244896,M,juvenile
M1938/92,Long-finned pilot whale,Pelagic Dolphins,25/08/1992,8,1992,60.16700363,-1.490013123,U,unknown
M1969/92,Striped dolphin,Pelagic Dolphins,28/08/1992,8,1992,55.78475571,-6.458324432,M,juvenile
M2004/92,Striped dolphin,Pelagic Dolphins,29/08/1992,8,1992,57.30400085,-6.355081081,M,juvenile
M1970/92,Harbour porpoise,Harbour porpoise,30/08/1992,8,1992,54.86962891,-3.645515203,F,adult
M2005/92,White-beaked dolphin,Pelagic Dolphins,01/09/1992,9,1992,57.22438049,-5.636134148,M,adult
M2030/92,Harbour porpoise,Harbour porpoise,06/09/1992,9,1992,57.66300201,-3.602365017,F,juvenile
M2195/92,Harbour porpoise,Harbour porpoise,22/09/1992,9,1992,57.67107773,-2.544809341,F,juvenile
M2212/92,Harbour porpoise,Harbour porpoise,23/09/1992,9,1992,57.67211533,-2.186050892,M,adult
M2239/92,Minke whale,Baleen Whales,27/09/1992,9,1992,57.6349678,-3.751886129,F,juvenile
M2267/92,Harbour porpoise,Harbour porpoise,29/09/1992,9,1992,57.72118759,-3.307745457,F,juvenile
M2337/92,Harbour porpoise,Harbour porpoise,07/10/1992,10,1992,57.7254715,-3.32805419,M,juvenile
M2361/92,Bottlenose dolphin,Pelagic Dolphins,11/10/1992,10,1992,57.68678665,-2.93248415,M,neonate
M2476/92,Harbour porpoise,Harbour porpoise,14/10/1992,10,1992,57.69776917,-2.904243231,U,unknown
M2477/92,Long-finned pilot whale,Pelagic Dolphins,15/10/1992,10,1992,57.48849106,-7.376086235,U,unknown
M2446/92,Risso's dolphin,Pelagic Dolphins,19/10/1992,10,1992,57.7228775,-3.317887068,M,adult
M2482/92,Risso's dolphin,Pelagic Dolphins,24/10/1992,10,1992,58.10684204,-7.112102032,M,adult
M2547/92,Harbour porpoise,Harbour porpoise,03/11/1992,11,1992,56.61849213,-2.482301235,M,juvenile
M2587/92,Harbour porpoise,Harbour porpoise,08/11/1992,11,1992,57.68148804,-3.140289545,U,unknown
M2677/92,Minke whale,Baleen Whales,10/11/1992,11,1992,57.24089432,-7.441145897,U,unknown
M2630/92,Harbour porpoise,Harbour porpoise,13/11/1992,11,1992,57.6840744,-3.495938301,M,juvenile
M2637/92,Harbour porpoise,Harbour porpoise,15/11/1992,11,1992,58.59547424,-3.369486809,M,adult
M2651/92,Harbour porpoise,Harbour porpoise,17/11/1992,11,1992,60.20959473,-1.370279431,M,adult
M2679/92,Harbour porpoise,Harbour porpoise,22/11/1992,11,1992,57.72629166,-5.689774036,M,juvenile
M2687/92,Sowerby's beaked whale,Deep Divers,22/11/1992,11,1992,55.47125626,-5.537783146,M,adult
M2688/92,Short-beaked common dolphin,Common Dolphin,22/11/1992,11,1992,57.30742645,-7.40111208,U,unknown
M2762/92,Sperm whale,Deep Divers,04/12/1992,12,1992,59.27758026,-2.371955872,M,juvenile
M2763/92,Harbour porpoise,Harbour porpoise,05/12/1992,12,1992,58.99446106,-2.946700335,M,juvenile
M2858/92,Harbour porpoise,Harbour porpoise,18/12/1992,12,1992,54.85500336,-3.789792299,M,adult
M2877/92,White-beaked dolphin,Pelagic Dolphins,22/12/1992,12,1992,56.21850586,-2.706240654,M,juvenile
M2882/92,Sperm whale,Deep Divers,22/12/1992,12,1992,57.80838013,-7.083184242,M,adult
M2895/92,Minke whale,Baleen Whales,23/12/1992,12,1992,56.38783264,-5.525144577,F,juvenile
M2944/92a,Short-beaked common dolphin,Common Dolphin,28/12/1992,12,1992,57.37084961,-7.412129879,U,unknown
M2915/92,White-beaked dolphin,Pelagic Dolphins,29/12/1992,12,1992,58.01464844,-3.839810371,F,juvenile
M2931/92,Minke whale,Baleen Whales,30/12/1992,12,1992,57.48684311,-7.37250185,U,unknown
M42/93,Harbour porpoise,Harbour porpoise,06/01/1993,1,1993,57.38355637,-6.074783325,M,juvenile
M1189/93,Baleen whale (indeterminate species),Baleen Whales,14/01/1993,1,1993,59.34139252,-2.908869267,U,unknown
M1266/93,Cuvier's beaked whale,Deep Divers,14/01/1993,1,1993,60.7832489,-0.931152999,U,unknown
M2/93,White-beaked dolphin,Pelagic Dolphins,16/01/1993,1,1993,58.8332901,-3.110335588,U,unknown
M279/93,Harbour porpoise,Harbour porpoise,17/01/1993,1,1993,57.30316925,-7.395502567,U,unknown
M105/93,Harbour porpoise,Harbour porpoise,18/01/1993,1,1993,56.57896042,-6.281003475,F,adult
M136/93,Harbour porpoise,Harbour porpoise,23/01/1993,1,1993,59.87080002,-1.315969467,F,juvenile
M158/93,Bottlenose dolphin,Pelagic Dolphins,25/01/1993,1,1993,57.66829681,-3.000737667,M,adult
M185/93,Harbour porpoise,Harbour porpoise,25/01/1993,1,1993,59.87883759,-1.308650732,M,juvenile
M215/93,White-beaked dolphin,Pelagic Dolphins,25/01/1993,1,1993,58.90680695,-3.315806627,U,unknown
M243/93,Atlantic white-sided dolphin,Pelagic Dolphins,27/01/1993,1,1993,57.39780807,-7.371095181,M,juvenile
M356/93,Cuvier's beaked whale,Deep Divers,29/01/1993,1,1993,57.99425125,-7.092618465,M,juvenile
M214/93,Short-beaked common dolphin,Common Dolphin,31/01/1993,1,1993,57.4851265,-7.370575905,U,unknown
M238/93,Bottlenose dolphin,Pelagic Dolphins,02/02/1993,2,1993,57.90896988,-3.99643445,M,adult
M249/93,Short-beaked common dolphin,Common Dolphin,03/02/1993,2,1993,56.20195389,-2.77040267,F,juvenile
M270/93,Harbour porpoise,Harbour porpoise,07/02/1993,2,1993,55.64271927,-4.820406914,F,adult
M362/93,Atlantic white-sided dolphin,Pelagic Dolphins,10/02/1993,2,1993,55.9986496,-3.48470211,M,adult
M359/93,Harbour porpoise,Harbour porpoise,15/02/1993,2,1993,54.77595901,-4.364738941,U,unknown
M446/93,Short-beaked common dolphin,Common Dolphin,21/02/1993,2,1993,57.31561279,-7.39899683,M,juvenile
M449/93,Short-beaked common dolphin,Common Dolphin,25/02/1993,2,1993,57.17879868,-7.420396328,U,unknown
M440/93,Harbour porpoise,Harbour porpoise,27/02/1993,2,1993,56.06040955,-2.70014143,M,juvenile
M442/93,Atlantic white-sided dolphin,Pelagic Dolphins,01/03/1993,3,1993,58.86927414,-3.38375473,U,unknown
M473/93,Long-finned pilot whale,Pelagic Dolphins,02/03/1993,3,1993,57.14307022,-5.649660587,F,adult
M491/93,Harbour porpoise,Harbour porpoise,05/03/1993,3,1993,57.20513153,-2.062868595,M,adult
M492/93,Harbour porpoise,Harbour porpoise,07/03/1993,3,1993,56.06040955,-2.70014143,U,unknown
M510/93,White-beaked dolphin,Pelagic Dolphins,08/03/1993,3,1993,57.14045334,-2.075977564,F,adult
M517/93,Harbour porpoise,Harbour porpoise,09/03/1993,3,1993,57.50398636,-4.299777031,M,adult
M652/93,Harbour porpoise,Harbour porpoise,26/03/1993,3,1993,57.66642761,-3.010746717,U,unknown
M644/93,Short-beaked common dolphin,Common Dolphin,28/03/1993,3,1993,58.48287582,-3.124972105,M,juvenile
M1065/93,Short-beaked common dolphin,Common Dolphin,29/03/1993,3,1993,56.04893875,-3.62953496,F,adult
M752/93,Harbour porpoise,Harbour porpoise,08/04/1993,4,1993,58.03357315,-3.835688829,M,juvenile
M791/93,Harbour porpoise,Harbour porpoise,14/04/1993,4,1993,57.13956451,-2.044582605,U,unknown
M831/93,Harbour porpoise,Harbour porpoise,19/04/1993,4,1993,57.40987778,-1.858489633,U,unknown
M843/93,Harbour porpoise,Harbour porpoise,20/04/1993,4,1993,57.7254715,-3.32805419,F,juvenile
M822/93,Harbour porpoise,Harbour porpoise,21/04/1993,4,1993,58.89968109,-2.888560057,F,juvenile
M879/93,Harbour porpoise,Harbour porpoise,21/04/1993,4,1993,58.89968109,-2.888560057,U,unknown
M906/93,Harbour porpoise,Harbour porpoise,28/04/1993,4,1993,57.67744827,-2.979185104,M,juvenile
M930/93,Harbour porpoise,Harbour porpoise,30/04/1993,4,1993,57.66460419,-3.617511272,F,juvenile
M960/93,Risso's dolphin,Pelagic Dolphins,05/05/1993,5,1993,56.65214157,-6.570268631,F,adult
M961/93,Minke whale,Baleen Whales,05/05/1993,5,1993,56.29745102,-6.383681774,F,adult
M2954/93,White-beaked dolphin,Pelagic Dolphins,09/05/1993,5,1993,60.3211174,-1.091124654,U,unknown
M2955/93,Risso's dolphin,Pelagic Dolphins,09/05/1993,5,1993,60.3211174,-1.091124654,U,unknown
M1063/93,Harbour porpoise,Harbour porpoise,16/05/1993,5,1993,59.53703308,-1.603888512,F,juvenile
M1089/93,Harbour porpoise,Harbour porpoise,19/05/1993,5,1993,57.74845123,-3.918684959,M,juvenile
M1106/93,Harbour porpoise,Harbour porpoise,21/05/1993,5,1993,55.76209641,-6.363193989,M,juvenile
M1116/93,Harbour porpoise,Harbour porpoise,22/05/1993,5,1993,57.66276932,-3.620789289,M,adult
M1353/93,Risso's dolphin,Pelagic Dolphins,28/05/1993,5,1993,56.05721283,-5.904688358,U,adult
M1186/93,Bottlenose dolphin,Pelagic Dolphins,31/05/1993,5,1993,57.50793076,-4.229902744,F,juvenile
M1190/93,Harbour porpoise,Harbour porpoise,31/05/1993,5,1993,58.50348663,-3.130787849,M,neonate
M1204/93,Harbour porpoise,Harbour porpoise,31/05/1993,5,1993,57.63835907,-5.804899693,M,adult
M1227/93,Harbour porpoise,Harbour porpoise,03/06/1993,6,1993,57.88892746,-4.013887405,F,adult
M1237/93,Harbour porpoise,Harbour porpoise,04/06/1993,6,1993,56.7253418,-5.247639179,F,adult
M1245/93,Harbour porpoise,Harbour porpoise,04/06/1993,6,1993,58.26197433,-6.323728085,U,unknown
M1255/93,Harbour porpoise,Harbour porpoise,04/06/1993,6,1993,56.2125206,-2.93184948,U,neonate
M1257/93,Harbour porpoise,Harbour porpoise,04/06/1993,6,1993,56.2125206,-2.93184948,U,unknown
M1248/93,Harbour porpoise,Harbour porpoise,06/06/1993,6,1993,57.66458511,-3.619190931,M,neonate
M1256/93,Harbour porpoise,Harbour porpoise,06/06/1993,6,1993,56.2125206,-2.93184948,U,unknown
M1249/93,Minke whale,Baleen Whales,07/06/1993,6,1993,56.55065155,-2.587167263,F,adult
M1263/93,Harbour porpoise,Harbour porpoise,08/06/1993,6,1993,60.4859581,-1.545060039,F,adult
M1296/93,Harbour porpoise,Harbour porpoise,10/06/1993,6,1993,57.2114296,-2.044664383,M,adult
M1319/93,Harbour porpoise,Harbour porpoise,11/06/1993,6,1993,56.33575058,-2.781183958,M,neonate
M1344/93,Harbour porpoise,Harbour porpoise,13/06/1993,6,1993,57.69402313,-4.009770393,U,unknown
M1325/93,Harbour porpoise,Harbour porpoise,14/06/1993,6,1993,57.68031311,-2.957461119,M,juvenile
M1320/93,Minke whale,Baleen Whales,14/06/1993,6,1993,58.2449646,-6.321664333,U,unknown
M1346/93,Harbour porpoise,Harbour porpoise,14/06/1993,6,1993,57.71878815,-3.279129744,F,juvenile
M1347/93,Harbour porpoise,Harbour porpoise,14/06/1993,6,1993,57.71795654,-3.272378445,U,unknown
M1369/93,Harbour porpoise,Harbour porpoise,18/06/1993,6,1993,58.02545166,-3.8386724,F,juvenile
M1399/93,Harbour porpoise,Harbour porpoise,18/06/1993,6,1993,58.50348663,-3.130787849,U,neonate
M1400/93,Harbour porpoise,Harbour porpoise,18/06/1993,6,1993,58.50348663,-3.130787849,U,neonate
M1404/93,Harbour porpoise,Harbour porpoise,19/06/1993,6,1993,57.92238617,-4.000564098,U,unknown
M1409/93,Minke whale,Baleen Whales,20/06/1993,6,1993,56.2735405,-6.217671394,U,unknown
M1411/93,Harbour porpoise,Harbour porpoise,21/06/1993,6,1993,59.52267838,-1.607600331,M,neonate
M1482/93,Harbour porpoise,Harbour porpoise,30/06/1993,6,1993,57.98932648,-3.655817509,F,neonate
M1564/93,Harbour porpoise,Harbour porpoise,02/07/1993,7,1993,56.05877304,-2.671200037,U,unknown
M1559/93,Harbour porpoise,Harbour porpoise,07/07/1993,7,1993,57.68082428,-2.325282812,M,adult
M1563/93,Minke whale,Baleen Whales,07/07/1993,7,1993,55.72251129,-6.338055611,F,juvenile
M2474/93,Northern bottlenose whale,Deep Divers,11/07/1993,7,1993,60.62776184,-0.912541747,U,unknown
M1592/93,Harbour porpoise,Harbour porpoise,12/07/1993,7,1993,57.7264061,-3.324731588,M,juvenile
M2956/93,Risso's dolphin,Pelagic Dolphins,14/07/1993,7,1993,60.20606613,-1.622906089,U,unknown
M1620/93,Striped dolphin,Pelagic Dolphins,15/07/1993,7,1993,60.25285339,-1.405571103,M,adult
M1646/93,Harbour porpoise,Harbour porpoise,18/07/1993,7,1993,57.6913414,-3.489532471,U,unknown
M1653/93,Harbour porpoise,Harbour porpoise,20/07/1993,7,1993,57.71054077,-2.29534173,F,adult
M1667/93,Minke whale,Baleen Whales,21/07/1993,7,1993,57.57221985,-4.041506767,M,juvenile
M1677/93,Minke whale,Baleen Whales,21/07/1993,7,1993,58.29713821,-6.799535275,M,adult
M1678/93,White-beaked dolphin,Pelagic Dolphins,21/07/1993,7,1993,55.85757446,-6.434683323,U,unknown
M2377/93,Sperm whale,Deep Divers,21/07/1993,7,1993,60.50860214,-1.606651068,U,unknown
M1682/93,Minke whale,Baleen Whales,22/07/1993,7,1993,58.21183014,-5.361938477,M,adult
M1918/93,Long-finned pilot whale,Pelagic Dolphins,22/07/1993,7,1993,57.15211105,-7.413161278,U,unknown
M1730/93,Harbour porpoise,Harbour porpoise,23/07/1993,7,1993,55.97621155,-2.450233221,U,unknown
M1919/93,Risso's dolphin,Pelagic Dolphins,02/08/1993,8,1993,57.36369705,-7.411062717,U,unknown
M1773/93,White-beaked dolphin,Pelagic Dolphins,04/08/1993,8,1993,58.60185242,-3.361122608,M,juvenile
M1843/93,Atlantic white-sided dolphin,Pelagic Dolphins,04/08/1993,8,1993,60.50860214,-1.606651068,F,juvenile
M1856/93,White-beaked dolphin,Pelagic Dolphins,14/08/1993,8,1993,59.12679291,-3.322489977,U,unknown
M1847/93,Harbour porpoise,Harbour porpoise,15/08/1993,8,1993,58.61634445,-3.349627733,F,juvenile
M1848/93,Harbour porpoise,Harbour porpoise,15/08/1993,8,1993,58.61545944,-3.347876787,U,unknown
M1884/93,Risso's dolphin,Pelagic Dolphins,17/08/1993,8,1993,58.20584106,-6.308377743,F,juvenile
M1889/93,Risso's dolphin,Pelagic Dolphins,17/08/1993,8,1993,58.19862747,-6.362008095,M,adult
M1916/93,Harbour porpoise,Harbour porpoise,18/08/1993,8,1993,54.91384125,-3.564623117,F,neonate
M1950/93,White-beaked dolphin,Pelagic Dolphins,24/08/1993,8,1993,58.29822159,-6.794561386,M,adult
M1995/93,White-beaked dolphin,Pelagic Dolphins,29/08/1993,8,1993,58.61278915,-3.346056461,M,neonate
M2035/93,Minke whale,Baleen Whales,02/09/1993,9,1993,58.52753067,-4.241028309,M,adult
M2053/93,Harbour porpoise,Harbour porpoise,05/09/1993,9,1993,57.57667542,-4.098621368,F,juvenile
M2049/93,Harbour porpoise,Harbour porpoise,06/09/1993,9,1993,56.33934021,-2.78288126,F,adult
M2100/93,White-beaked dolphin,Pelagic Dolphins,09/09/1993,9,1993,57.1521225,-2.077656269,M,adult
M2114/93,Minke whale,Baleen Whales,10/09/1993,9,1993,57.36322403,-1.913517118,M,adult
M2117/93,Atlantic white-sided dolphin,Pelagic Dolphins,10/09/1993,9,1993,57.66204071,-7.358158588,M,juvenile
M2142/93,Harbour porpoise,Harbour porpoise,11/09/1993,9,1993,59.23954391,-2.830783606,U,unknown
M2121/93,Bottlenose dolphin,Pelagic Dolphins,12/09/1993,9,1993,57.72548676,-3.326372147,F,juvenile
M2149/93,Risso's dolphin,Pelagic Dolphins,13/09/1993,9,1993,58.58255005,-4.010585785,U,unknown
M2189/93,Harbour porpoise,Harbour porpoise,20/09/1993,9,1993,58.87255478,-2.91387558,F,adult
M2204/93,Harbour porpoise,Harbour porpoise,21/09/1993,9,1993,57.69370651,-3.972828388,F,juvenile
M2226/93,White-beaked dolphin,Pelagic Dolphins,22/09/1993,9,1993,58.96189117,-2.978838444,U,unknown
M2239/93,Northern bottlenose whale,Deep Divers,24/09/1993,9,1993,54.96526337,-5.064930439,M,adult
M2251/93,Harbour porpoise,Harbour porpoise,27/09/1993,9,1993,57.71533585,-3.43343997,M,adult
M2306/93,Harbour porpoise,Harbour porpoise,01/10/1993,10,1993,57.75298691,-3.915566444,F,juvenile
M2310/93,Bottlenose dolphin,Pelagic Dolphins,02/10/1993,10,1993,57.6716156,-4.221498013,F,juvenile
M2316/93,Harbour porpoise,Harbour porpoise,02/10/1993,10,1993,56.77010345,-2.406512976,U,unknown
M2354/93,Minke whale,Baleen Whales,08/10/1993,10,1993,55.57893753,-5.150687695,M,adult
M2359/93,Harbour porpoise,Harbour porpoise,08/10/1993,10,1993,57.97417831,-3.962856293,F,adult
M2378/93,Harbour porpoise,Harbour porpoise,10/10/1993,10,1993,55.57734299,-5.142621517,U,unknown
M2379/93,Minke whale,Baleen Whales,11/10/1993,10,1993,58.05406952,-6.585271358,F,juvenile
M2380/93,Harbour porpoise,Harbour porpoise,12/10/1993,10,1993,57.89080048,-4.008934975,M,juvenile
M2381/93,Harbour porpoise,Harbour porpoise,12/10/1993,10,1993,57.59012222,-3.87185359,M,juvenile
M2391/93,White-beaked dolphin,Pelagic Dolphins,12/10/1993,10,1993,58.36549377,-6.213181496,U,unknown
M2958/93,Short-beaked common dolphin,Common Dolphin,23/10/1993,10,1993,58.16532135,-7.089859486,M,unknown
M2558/93,Harbour porpoise,Harbour porpoise,03/11/1993,11,1993,58.19206238,-6.369727135,M,adult
M2626/93,Harbour porpoise,Harbour porpoise,14/11/1993,11,1993,57.21098709,-7.425130367,F,neonate
M2627/93,Harbour porpoise,Harbour porpoise,14/11/1993,11,1993,57.61042023,-7.1057477,M,juvenile
M2648/93,Harbour porpoise,Harbour porpoise,18/11/1993,11,1993,57.69838715,-4.073781013,M,juvenile
M2679/93,Sperm whale,Deep Divers,21/11/1993,11,1993,56.84638214,-5.740470409,M,adult
M2683/93,Sperm whale,Deep Divers,24/11/1993,11,1993,57.26938248,-6.073755264,M,adult
M2698/93,White-beaked dolphin,Pelagic Dolphins,26/11/1993,11,1993,60.2371254,-3.195414305,M,juvenile
M2783/93,Bottlenose dolphin,Pelagic Dolphins,07/12/1993,12,1993,57.94215393,-3.999963999,M,juvenile
M2824/93,Cuvier's beaked whale,Deep Divers,15/12/1993,12,1993,58.23480606,-5.166435242,U,unknown
M1/93,Harbour porpoise,Harbour porpoise,29/12/1993,12,1993,58.94126511,-3.087733984,U,unknown
M39/94,Harbour porpoise,Harbour porpoise,07/01/1994,1,1994,57.58790207,-3.900188208,F,adult
M83/94,Harbour porpoise,Harbour porpoise,14/01/1994,1,1994,57.67716599,-3.12170887,F,juvenile
M84/94,Harbour porpoise,Harbour porpoise,17/01/1994,1,1994,57.64305496,-4.050509453,U,unknown
M85/94,Harbour porpoise,Harbour porpoise,17/01/1994,1,1994,56.55151367,-2.595305443,M,juvenile
M144/94,Cuvier's beaked whale,Deep Divers,17/01/1994,1,1994,58.35088348,-6.192635059,F,juvenile
M176/94,Short-beaked common dolphin,Common Dolphin,28/01/1994,1,1994,57.81761169,-4.035153866,F,adult
M449/94,Harbour porpoise,Harbour porpoise,28/01/1994,1,1994,58.46306229,-5.05659008,U,unknown
M228/94,Harbour porpoise,Harbour porpoise,03/02/1994,2,1994,60.47046661,-1.481632471,U,unknown
M232/94,Harbour porpoise,Harbour porpoise,05/02/1994,2,1994,57.70739746,-4.126329422,F,juvenile
M236/94,White-beaked dolphin,Pelagic Dolphins,05/02/1994,2,1994,58.92390823,-2.748498201,U,unknown
M365/94,Harbour porpoise,Harbour porpoise,05/02/1994,2,1994,57.3021698,-1.993330359,U,unknown
M448/94,Long-finned pilot whale,Pelagic Dolphins,05/02/1994,2,1994,58.49569702,-5.11950922,U,unknown
M665/94,Harbour porpoise,Harbour porpoise,05/02/1994,2,1994,57.26174545,-2.028148413,U,unknown
M254/94,Harbour porpoise,Harbour porpoise,06/02/1994,2,1994,57.69164658,-3.989506483,F,adult
M237/94,Harbour porpoise,Harbour porpoise,07/02/1994,2,1994,57.6975975,-3.491466522,F,juvenile
