m.ref,spec.r,group.r,date,month,year,latwgs84,longwgs84,sex,age.r
M89/02,Harbour porpoise,Harbour porpoise,26/06/2002,6,2002,55.46969223,-5.711770535,M,adult
M93/02,Sperm whale,Deep Divers,28/06/2002,6,2002,55.99809647,-3.455823898,M,juvenile
M95/02,Minke whale,Baleen Whales,30/06/2002,6,2002,60.22456741,-1.514388084,U,unknown
M96/02,Risso's dolphin,Pelagic Dolphins,03/07/2002,7,2002,58.96723175,-3.292016506,F,adult
M98/02,White-beaked dolphin,Pelagic Dolphins,12/07/2002,7,2002,55.98553848,-3.291846991,M,adult
M99/02,Harbour porpoise,Harbour porpoise,14/07/2002,7,2002,57.58636093,-7.506178856,U,unknown
M101/02,Harbour porpoise,Harbour porpoise,15/07/2002,7,2002,57.05815125,-6.491272926,U,unknown
M115/02,Short-beaked common dolphin,Common Dolphin,21/07/2002,7,2002,57.33307266,-6.499887943,U,unknown
M114/02,Minke whale,Baleen Whales,24/07/2002,7,2002,57.97210693,-6.410567284,M,juvenile
M106/02,Bottlenose dolphin,Pelagic Dolphins,25/07/2002,7,2002,57.8300972,-3.803450346,U,unknown
M112/02,Long-finned pilot whale,Pelagic Dolphins,26/07/2002,7,2002,57.36032486,-7.405568123,U,unknown
M108/02,Harbour porpoise,Harbour porpoise,27/07/2002,7,2002,56.46536255,-2.88122344,F,neonate
M110/02,White-beaked dolphin,Pelagic Dolphins,28/07/2002,7,2002,56.48762131,-6.878792286,U,unknown
M109/02,Short-beaked common dolphin,Common Dolphin,30/07/2002,7,2002,56.32110596,-2.675797462,U,unknown
M129/02,Long-finned pilot whale,Pelagic Dolphins,14/08/2002,8,2002,56.458004,-6.967608452,M,juvenile
M130/02,Harbour porpoise,Harbour porpoise,15/08/2002,8,2002,55.86190033,-5.088850498,F,juvenile
M155/02,Harbour porpoise,Harbour porpoise,20/08/2002,8,2002,56.54423523,-2.614704609,M,juvenile
M178/02,Minke whale,Baleen Whales,20/08/2002,8,2002,58.1030159,-6.396182537,U,unknown
M155/02A,Minke whale,Baleen Whales,22/08/2002,8,2002,56.60252762,-6.327707291,M,adult
M161/02,Harbour porpoise,Harbour porpoise,23/08/2002,8,2002,55.36694336,-4.772335052,U,unknown
M172/02,Sperm whale,Deep Divers,26/08/2002,8,2002,58.21523285,-6.752660275,M,adult
M193/02,Risso's dolphin,Pelagic Dolphins,30/08/2002,8,2002,58.96565628,-3.358044147,U,unknown
M203/02,Harbour porpoise,Harbour porpoise,06/09/2002,9,2002,55.98613358,-4.896690845,F,adult
M205/02,Harbour porpoise,Harbour porpoise,08/09/2002,9,2002,56.05608368,-4.903550148,M,adult
M207/02,Minke whale,Baleen Whales,09/09/2002,9,2002,58.55893707,-4.708981991,M,adult
M214/02,Short-beaked common dolphin,Common Dolphin,12/09/2002,9,2002,58.17375565,-5.305602551,M,adult
M243/02,Harbour porpoise,Harbour porpoise,23/09/2002,9,2002,56.0594368,-2.711361408,F,adult
M265/02,Long-finned pilot whale,Pelagic Dolphins,24/09/2002,9,2002,57.28879166,-7.436606407,U,unknown
M257/02,Harbour porpoise,Harbour porpoise,27/09/2002,9,2002,55.68172455,-6.26985693,M,juvenile
M296/02,Minke whale,Baleen Whales,07/10/2002,10,2002,56.88059998,-5.914690971,U,unknown
M299/02,Harbour porpoise,Harbour porpoise,07/10/2002,10,2002,55.98164749,-2.439079285,U,unknown
M323/02,Risso's dolphin,Pelagic Dolphins,11/10/2002,10,2002,60.7002182,-0.869888306,F,adult
M351/02,Risso's dolphin,Pelagic Dolphins,17/10/2002,10,2002,58.20039368,-6.202100754,U,unknown
M356/02,Harbour porpoise,Harbour porpoise,19/10/2002,10,2002,57.69040298,-2.929218054,M,juvenile
M367/02A,Minke whale,Baleen Whales,20/10/2002,10,2002,58.36029053,-6.20744133,U,unknown
M367/02B,Minke whale,Baleen Whales,20/10/2002,10,2002,58.20819855,-6.397263527,U,unknown
M441/02,Harbour porpoise,Harbour porpoise,10/11/2002,11,2002,54.85327911,-3.785043716,F,adult
M445/02,Harbour porpoise,Harbour porpoise,11/11/2002,11,2002,56.20965195,-2.954351664,M,juvenile
M460/02,Harbour porpoise,Harbour porpoise,13/11/2002,11,2002,56.39720154,-5.574656963,U,unknown
M453/02,Risso's dolphin,Pelagic Dolphins,14/11/2002,11,2002,56.51810455,-6.97222805,U,unknown
M502/02,Harbour porpoise,Harbour porpoise,22/11/2002,11,2002,56.01058197,-5.317341805,F,adult
M546/02,Harbour porpoise,Harbour porpoise,29/11/2002,11,2002,60.26649857,-1.114335418,F,adult
